state;industry;position;tooltip
Maine;Healthcare & Therapy;Nurse Practitioner;"<h3 style=""margin-bottom: 0px"">Nurse Practitioner</h3>
<i>Maine</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$116,370</strong></p>

<p>68% is the share of the industry among all others in the state, which is significantly high. Accordingly, the state is not as diverse as others and has a critical need for Healthcare & Therapy.</p>
<p>The position of Nurse Practitioner corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Maryland;Healthcare & Therapy;Estimator;"<h3 style=""margin-bottom: 0px"">Estimator</h3>
<i>Maryland</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$76,010</strong></p>

<p>19% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Healthcare & Therapy has a slight gap over all others.</p>
<p>The position of Estimator doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Massachusetts;Healthcare & Therapy;CNA;"<h3 style=""margin-bottom: 0px"">CNA</h3>
<i>Massachusetts</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$37,680</strong></p>

<p>52% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The position of CNA corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Michigan;Human Resources;HR Manager;"<h3 style=""margin-bottom: 0px"">HR Manager</h3>
<i>Michigan</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$120,150</strong></p>

<p>19% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Human Resources has a slight gap over all others.</p>
<p>The position of HR Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Minnesota;Accounting & Finance;Maintenance Manager;"<h3 style=""margin-bottom: 0px"">Maintenance Manager</h3>
<i>Minnesota</i>

<p>20% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Accounting & Finance has a slight gap over all others.</p>
<p>The position of Maintenance Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Mississippi;Law Enforcement/Security;Safety Officer;"<h3 style=""margin-bottom: 0px"">Safety Officer</h3>
<i>Mississippi</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$38,940</strong></p>

<p>24% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Law Enforcement/Security industry is significantly greater over all others.</p>
<p>The position of Safety Officer corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Missouri;Management level;Manager;"<h3 style=""margin-bottom: 0px"">Manager</h3>
<i>Missouri</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$41,480-$145,860</strong></p>

<p>26% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Management level industry is significantly greater over all others.</p>
<p>The position of Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Montana;Engineering;Transmission Manager;"<h3 style=""margin-bottom: 0px"">Transmission Manager</h3>
<i>Montana</i>

<p>36% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Engineering industry is significantly greater over all others.</p>
<p>The position of Transmission Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Nebraska;Office & Administrative;Office Manager And Executive Assistant;"<h3 style=""margin-bottom: 0px"">Office Manager And Executive Assistant</h3>
<i>Nebraska</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$37,800-$102,630</strong></p>

<p>52% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The positions of Office Manager And Executive Assistant correspond to the most in-demand industry in the state, so this confirms its precedence.</p>"
Nevada;Accounting & Finance;Accountant;"<h3 style=""margin-bottom: 0px"">Accountant</h3>
<i>Nevada</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$68,360</strong></p>

<p>15% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Accounting & Finance has a slight gap over all others.</p>
<p>The position of Accountant corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
New Hampshire;Healthcare & Therapy;Director Of Nursing;"<h3 style=""margin-bottom: 0px"">Director Of Nursing</h3>
<i>New Hampshire</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$72,210-$120,730</strong></p>

<p>71% is the share of the industry among all others in the state, which is significantly high. Accordingly, the state is not as diverse as others and has a critical need for Healthcare & Therapy.</p>
<p>The position of Director Of Nursing corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
New Jersey;C-Level & TOP management;Social Media Director;"<h3 style=""margin-bottom: 0px"">Social Media Director</h3>
<i>New Jersey</i>

<p>23% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the C-Level & TOP management industry is significantly greater over all others.</p>
<p>The position of Social Media Director corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
New Mexico;Office & Administrative;Executive Assistant;"<h3 style=""margin-bottom: 0px"">Executive Assistant</h3>
<i>New Mexico</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$38,520-$64,420</strong></p>

<p>37% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Office & Administrative industry is significantly greater over all others.</p>
<p>The position of Executive Assistant corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
New York;IT;Estimator;"<h3 style=""margin-bottom: 0px"">Estimator</h3>
<i>New York</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$83,550</strong></p>

<p>14% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Estimator doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
North Carolina;IT;Customer Service Manager;"<h3 style=""margin-bottom: 0px"">Customer Service Manager</h3>
<i>North Carolina</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$36,850</strong></p>

<p>25% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Customer Service Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
North Dakota;Healthcare & Therapy;Business Account Manager;"<h3 style=""margin-bottom: 0px"">Business Account Manager</h3>
<i>North Dakota</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$71,036-$118,560</strong></p>

<p>42% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The position of Business Account Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Ohio;Engineering;Sales Manager;"<h3 style=""margin-bottom: 0px"">Sales Manager</h3>
<i>Ohio</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$143,090</strong></p>

<p>19% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Engineering has a slight gap over all others.</p>
<p>The position of Sales Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Oklahoma;Healthcare & Therapy;Marketing Director;"<h3 style=""margin-bottom: 0px"">Marketing Director</h3>
<i>Oklahoma</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$60,330-$127,440</strong></p>

<p>16% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Healthcare & Therapy has a slight gap over all others.</p>
<p>The position of Marketing Director doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Oregon;Customer Service;Technician;"<h3 style=""margin-bottom: 0px"">Technician</h3>
<i>Oregon</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$38,120-$82,040</strong></p>

<p>18% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Customer Service has a slight gap over all others.</p>
<p>The position of Technician doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Pennsylvania;IT;Project Manager;"<h3 style=""margin-bottom: 0px"">Project Manager</h3>
<i>Pennsylvania</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$90,340</strong></p>

<p>12% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Project Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Rhode Island;Marketing & Advertising;Marketing Director;"<h3 style=""margin-bottom: 0px"">Marketing Director</h3>
<i>Rhode Island</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$165,870</strong></p>

<p>27% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Marketing & Advertising industry is significantly greater over all others.</p>
<p>The position of Marketing Director corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
South Carolina;Accounting & Finance;Accountant;"<h3 style=""margin-bottom: 0px"">Accountant</h3>
<i>South Carolina</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$71,400</strong></p>

<p>29% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Accounting & Finance industry is significantly greater over all others.</p>
<p>The position of Accountant corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
South Dakota;Office & Administrative;Superintendent;"<h3 style=""margin-bottom: 0px"">Superintendent</h3>
<i>South Dakota</i>

<p>57% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The position of Superintendent doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Tennessee;C-Level & TOP management;Project Manager;"<h3 style=""margin-bottom: 0px"">Project Manager</h3>
<i>Tennessee</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$80,430</strong></p>

<p>15% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but C-Level & TOP management has a slight gap over all others.</p>
<p>The position of Project Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Texas;IT;Assistant Superintendent;"<h3 style=""margin-bottom: 0px"">Assistant Superintendent</h3>
<i>Texas</i>

<p>19% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Assistant Superintendent doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Utah;Accounting & Finance;Banker;"<h3 style=""margin-bottom: 0px"">Banker</h3>
<i>Utah</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$75,040-$85,870</strong></p>

<p>37% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Accounting & Finance industry is significantly greater over all others.</p>
<p>The position of Banker corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Vermont;Healthcare & Therapy;Hospitalist Physician;"<h3 style=""margin-bottom: 0px"">Hospitalist Physician</h3>
<i>Vermont</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$204,400-$280,490</strong></p>

<p>75% is the share of the industry among all others in the state, which is significantly high. Accordingly, the state is not as diverse as others and has a critical need for Healthcare & Therapy.</p>
<p>The position of Hospitalist Physician corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Virginia;IT;Counsel;"<h3 style=""margin-bottom: 0px"">Counsel</h3>
<i>Virginia</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$43,320-$108,910</strong></p>

<p>16% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Counsel doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Washington;IT;Project Manager;"<h3 style=""margin-bottom: 0px"">Project Manager</h3>
<i>Washington</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$120,800</strong></p>

<p>29% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Project Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
West Virginia;IT;Analyst;"<h3 style=""margin-bottom: 0px"">Analyst</h3>
<i>West Virginia</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$33,840-$91,160</strong></p>

<p>27% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Analyst corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Wisconsin;Management level;Superintendent;"<h3 style=""margin-bottom: 0px"">Superintendent</h3>
<i>Wisconsin</i>

<p>24% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Management level industry is significantly greater over all others.</p>
<p>The position of Superintendent corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Wyoming;Accounting & Finance;Banker;"<h3 style=""margin-bottom: 0px"">Banker</h3>
<i>Wyoming</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$57,780-$71,920</strong></p>

<p>41% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The position of Banker corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
